organisation,dataset_id,dataset_name,date_created,last_updated,description,frequency,coverage_start,coverage_end,resource_id,resource_name,resource_description,resource_format
Ministry of Trade and Industry - Department of Statistics,7b0fc222-4a4a-486f-a792-7902ca33e171,"Singapore Residents by Planning Area and Type of Dwelling, June 2003",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08 and type of dwelling, June 2003",Adhoc,na,na,9952d831-b705-400c-94bd-1cce05f57fa2,"Singapore Residents by Planning Area and Type of Dwelling, June 2003 (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,7b0fc222-4a4a-486f-a792-7902ca33e171,"Singapore Residents by Planning Area and Type of Dwelling, June 2003",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08 and type of dwelling, June 2003",Adhoc,na,na,1d9cdb60-9a7b-4ae6-8690-7a8d32d3826a,"Singapore Residents by Planning Area and Type of Dwelling, June 2003 (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,dfb977c2-0b3a-4272-82b1-9604f1b615ec,"Singapore Residents by Planning Area and Type of Dwelling, June 2005",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08 and type of dwelling, June 2005",Adhoc,na,na,dcbdb8f1-7887-4aa7-926d-c1607493ead5,"Singapore Residents by Planning Area and Type of Dwelling, June 2005 (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,dfb977c2-0b3a-4272-82b1-9604f1b615ec,"Singapore Residents by Planning Area and Type of Dwelling, June 2005",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08 and type of dwelling, June 2005",Adhoc,na,na,101fd623-2a50-4caa-9cb9-032a56e2d1e1,"Singapore Residents by Planning Area and Type of Dwelling, June 2005 (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,b90f589b-5ca7-4ca3-971f-48d9439e8e63,"Singapore Residents by Planning Area and Type of Dwelling, June 2007",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08 and type of dwelling, June 2007",Adhoc,na,na,8dd0e460-b523-420b-ac9a-9728e2a2ffce,"Singapore Residents by Planning Area and Type of Dwelling, June 2007 (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,b90f589b-5ca7-4ca3-971f-48d9439e8e63,"Singapore Residents by Planning Area and Type of Dwelling, June 2007",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08 and type of dwelling, June 2007",Adhoc,na,na,aed82d2a-afea-4f77-85f2-6243e1d37868,"Singapore Residents by Planning Area and Type of Dwelling, June 2007 (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,50f78dca-4577-4853-8a57-c8b0942aed76,"Singapore Residents by Planning Area and Type of Dwelling, June 2006",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08 and type of dwelling, June 2006",Adhoc,na,na,81357a41-5f6d-444f-8458-f475421c05df,"Singapore Residents by Planning Area and Type of Dwelling, June 2006 (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,50f78dca-4577-4853-8a57-c8b0942aed76,"Singapore Residents by Planning Area and Type of Dwelling, June 2006",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08 and type of dwelling, June 2006",Adhoc,na,na,de256377-6ffb-4577-b601-8e4ed9205cb3,"Singapore Residents by Planning Area and Type of Dwelling, June 2006 (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,48066fbc-a4cc-4300-89ed-b76ed8b7b638,"Singapore Residents by Planning Area and Type of Dwelling, June 2008",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08 and type of dwelling, June 2008",Adhoc,na,na,784408f0-a58b-4312-94bf-8a0507d5b5bf,"Singapore Residents by Planning Area and Type of Dwelling, June 2008 (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,48066fbc-a4cc-4300-89ed-b76ed8b7b638,"Singapore Residents by Planning Area and Type of Dwelling, June 2008",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08 and type of dwelling, June 2008",Adhoc,na,na,270d5a83-a74c-4add-8b50-4029ba43b7c0,"Singapore Residents by Planning Area and Type of Dwelling, June 2008 (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,a957a8b6-d8e3-4cb8-a968-49e91bbde5eb,"Singapore Residents by Planning Area and Type of Dwelling, June 2009",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08 and type of dwelling, June 2009",Adhoc,na,na,bbd44b75-3b97-4a0b-926b-8e535504aa5d,"Singapore Residents by Planning Area and Type of Dwelling, June 2009 (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,a957a8b6-d8e3-4cb8-a968-49e91bbde5eb,"Singapore Residents by Planning Area and Type of Dwelling, June 2009",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08 and type of dwelling, June 2009",Adhoc,na,na,532ebf3c-ea67-4373-a635-b6f5db257bc9,"Singapore Residents by Planning Area and Type of Dwelling, June 2009 (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,584ef1a4-1b3a-45fc-868a-7a622ec38729,"Singapore Residents by Planning Area and Type of Dwelling, June 2010",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08 and type of dwelling, June 2010",Adhoc,na,na,24e1755f-e4b9-4ff6-af8d-13b9174a8803,"Singapore Residents by Planning Area and Type of Dwelling, June 2010 (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,584ef1a4-1b3a-45fc-868a-7a622ec38729,"Singapore Residents by Planning Area and Type of Dwelling, June 2010",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP08 and type of dwelling, June 2010",Adhoc,na,na,be437ef3-2b3d-4a7a-970b-50228c295893,"Singapore Residents by Planning Area and Type of Dwelling, June 2010 (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,b847ed91-41f3-4345-90a3-fb7229f31ac0,"Singapore Residents by Planning Area and Type of Dwelling, June 2011",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14 and type of dwelling, June 2011",Adhoc,na,na,5959e5ce-fb4b-4db7-9a67-016e755632b2,"Singapore Residents by Planning Area and Type of Dwelling, June 2011 (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,b847ed91-41f3-4345-90a3-fb7229f31ac0,"Singapore Residents by Planning Area and Type of Dwelling, June 2011",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14 and type of dwelling, June 2011",Adhoc,na,na,5ab9c00b-5fe1-4538-a745-46afab7e1fa1,"Singapore Residents by Planning Area and Type of Dwelling, June 2011 (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,271d07dd-47b0-4c3d-9824-74caff37c9e6,"Singapore Residents by Planning Area and Type of Dwelling, June 2012",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14 and type of dwelling, June 2012",Adhoc,na,na,eacf7142-dc95-4a7e-b628-34bee4b310cb,"Singapore Residents by Planning Area and Type of Dwelling, June 2012 (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,271d07dd-47b0-4c3d-9824-74caff37c9e6,"Singapore Residents by Planning Area and Type of Dwelling, June 2012",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14 and type of dwelling, June 2012",Adhoc,na,na,7fa5004d-469e-4176-a0f7-1c8e5e99716f,"Singapore Residents by Planning Area and Type of Dwelling, June 2012 (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,e729347c-0a00-4e19-86e7-1a053c65a811,"Singapore Residents by Planning Area and Type of Dwelling, June 2013",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14 and type of dwelling, June 2013",Adhoc,na,na,a5aed7b1-b34d-494a-b308-dc07fe426798,"Singapore Residents by Planning Area and Type of Dwelling, June 2013 (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,e729347c-0a00-4e19-86e7-1a053c65a811,"Singapore Residents by Planning Area and Type of Dwelling, June 2013",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14 and type of dwelling, June 2013",Adhoc,na,na,06fae634-02cc-4a98-a295-9586905e4e8a,"Singapore Residents by Planning Area and Type of Dwelling, June 2013 (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,59ca755f-60a6-4729-b061-fa246742a25f,"Singapore Residents by Planning Area and Type of Dwelling, June 2014",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14 and type of dwelling, June 2014",Adhoc,na,na,622936e8-8596-4489-8eb6-da8703c606c1,"Singapore Residents by Planning Area and Type of Dwelling, June 2014 (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,59ca755f-60a6-4729-b061-fa246742a25f,"Singapore Residents by Planning Area and Type of Dwelling, June 2014",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14 and type of dwelling, June 2014",Adhoc,na,na,8de53ea9-baca-4def-8a5e-049814a051aa,"Singapore Residents by Planning Area and Type of Dwelling, June 2014 (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,a297bb22-5288-4a76-8e1b-bf207121ec32,"Singapore Residents by Planning Area and Type of Dwelling, June 2015",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14 and type of dwelling, Jun 2015",Adhoc,na,na,340d70ef-2f3e-4835-b732-a8deb5caa116,"Singapore Residents by Planning Area and Type of Dwelling, June 2015 (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,a297bb22-5288-4a76-8e1b-bf207121ec32,"Singapore Residents by Planning Area and Type of Dwelling, June 2015",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14 and type of dwelling, Jun 2015",Adhoc,na,na,aec17a4d-5228-43cc-b5ae-e1a0a16f3402,"Singapore Residents by Planning Area and Type of Dwelling, June 2015 (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,344568db-731b-4d98-94c5-fc528fc86527,"Singapore Residents by Planning Area and Type of Dwelling, June 2016",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14 and type of dwelling, Jun 2016",Adhoc,na,na,5068b126-b024-4ba8-b3ed-d0fef1b80d5b,"Singapore Residents by Planning Area and Type of Dwelling, June 2016 (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,344568db-731b-4d98-94c5-fc528fc86527,"Singapore Residents by Planning Area and Type of Dwelling, June 2016",09/12/2016,09/12/2016,"Distribution of the resident population by planning area based on URA MP14 and type of dwelling, Jun 2016",Adhoc,na,na,171b6f54-0da5-4327-b32a-a4dfbad11e23,"Singapore Residents by Planning Area and Type of Dwelling, June 2016 (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,8ba16f6a-35af-45f5-a9de-7913f81b7a7a,"Singapore Residents by Subzone, Age Group and Sex, June 2000 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area/subzone based on URA MP98, age group and sex, June 2000",Adhoc,na,na,2c9025bf-0f9f-4a99-bc73-8f74c6077188,"Singapore Residents by Subzone, Age Group and Sex, June 2000 (Gender) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,8ba16f6a-35af-45f5-a9de-7913f81b7a7a,"Singapore Residents by Subzone, Age Group and Sex, June 2000 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area/subzone based on URA MP98, age group and sex, June 2000",Adhoc,na,na,6b6c7d79-9115-4fb3-8713-110d9908273c,"Singapore Residents by Subzone, Age Group and Sex, June 2000 (Gender) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,efb6603f-353b-4e8c-b4df-050152af0e65,"Singapore Residents by Subzone, Age Group and Sex, June 2000 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population (Male) by planning area/subzone based on URA MP98, age group and sex, June 2000",Adhoc,na,na,365bb9b2-14df-4412-a855-1b7ba12b2dca,"Singapore Residents by Subzone, Age Group and Sex, June 2000 (Male) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,efb6603f-353b-4e8c-b4df-050152af0e65,"Singapore Residents by Subzone, Age Group and Sex, June 2000 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population (Male) by planning area/subzone based on URA MP98, age group and sex, June 2000",Adhoc,na,na,85a720a0-fca2-42e9-9b23-5807dc03340b,"Singapore Residents by Subzone, Age Group and Sex, June 2000 (Male) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,9f2398e9-5909-4957-b5fe-6443420c067f,"Singapore Residents by Planning Area, Age Group and Sex, June 2012 (Female)",09/12/2016,09/12/2016,"Distribution of the resident population (Female) by planning area based on URA MP14, age group and sex, June 2012",Adhoc,na,na,32fd7fe9-b8e7-470e-b71a-2c0e86bc508a,"Singapore Residents by Planning Area, Age Group and Sex, June 2012 (Female) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,9f2398e9-5909-4957-b5fe-6443420c067f,"Singapore Residents by Planning Area, Age Group and Sex, June 2012 (Female)",09/12/2016,09/12/2016,"Distribution of the resident population (Female) by planning area based on URA MP14, age group and sex, June 2012",Adhoc,na,na,5b84c015-8667-480f-b31a-c7e55a6a0249,"Singapore Residents by Planning Area, Age Group and Sex, June 2012 (Female) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,9147e4b6-8012-441a-893a-2445941f395f,"Singapore Residents by Subzone, Age Group and Sex, June 2001 (Female)",09/12/2016,09/12/2016,"Distribution of the resident population (Female) by planning area/subzone based on URA MP08, age group and sex, June 2001",Adhoc,na,na,a32ce637-5cd4-4655-b018-d0f3bc2b2b8c,"Singapore Residents by Subzone, Age Group and Sex, June 2001 (Female) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,9147e4b6-8012-441a-893a-2445941f395f,"Singapore Residents by Subzone, Age Group and Sex, June 2001 (Female)",09/12/2016,09/12/2016,"Distribution of the resident population (Female) by planning area/subzone based on URA MP08, age group and sex, June 2001",Adhoc,na,na,3943503a-cf8f-49cb-8c12-fa94815b365b,"Singapore Residents by Subzone, Age Group and Sex, June 2001 (Female) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,1b4ebb12-a863-45ee-828d-1b464af56118,"Singapore Residents by Subzone, Age Group and Sex, June 2001 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population (Male) by planning area/subzone based on URA MP08, age group and sex, June 2001",Adhoc,na,na,f01de78c-e158-4d42-9cfa-e2042cd289c8,"Singapore Residents by Subzone, Age Group and Sex, June 2001 (Male) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,1b4ebb12-a863-45ee-828d-1b464af56118,"Singapore Residents by Subzone, Age Group and Sex, June 2001 (Male)",09/12/2016,09/12/2016,"Distribution of the resident population (Male) by planning area/subzone based on URA MP08, age group and sex, June 2001",Adhoc,na,na,3afb1126-02dc-421d-ae48-f406ee85cfa5,"Singapore Residents by Subzone, Age Group and Sex, June 2001 (Male) (SHP)",na,SHP
Ministry of Trade and Industry - Department of Statistics,64f5702f-5127-4fcb-b724-bc239c4090ec,"Singapore Residents by Subzone, Age Group and Sex, June 2001 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area/subzone based on URA MP08, age group and sex, June 2001",Adhoc,na,na,56781afe-a4b4-413f-9b08-7cd58c83b409,"Singapore Residents by Subzone, Age Group and Sex, June 2001 (Gender) (KML)",na,KML
Ministry of Trade and Industry - Department of Statistics,64f5702f-5127-4fcb-b724-bc239c4090ec,"Singapore Residents by Subzone, Age Group and Sex, June 2001 (Gender)",09/12/2016,09/12/2016,"Distribution of the resident population by planning area/subzone based on URA MP08, age group and sex, June 2001",Adhoc,na,na,cc1e5d22-2945-471c-9fb2-463ea3546139,"Singapore Residents by Subzone, Age Group and Sex, June 2001 (Gender) (SHP)",na,SHP
